City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
101,Barcelona,ES,41.3888,2.159,69.55,87,20,4.61,few clouds
102,Mariinskiy Posad,RU,56.115,47.718,49.14,83,100,14.67,light rain
103,Grindavik,IS,63.8424,-22.4338,49.95,93,75,13.8,light intensity drizzle
104,Teahupoo,PF,-17.8333,-149.2667,75.16,81,21,21.52,light rain
105,Alice Springs,AU,-23.7,133.8833,69.35,88,40,5.75,scattered clouds
106,Kalevala,RU,65.2,31.1667,41.83,95,100,4.45,overcast clouds
107,Leshukonskoye,RU,64.8989,45.7622,36.34,93,100,5.23,overcast clouds
108,Labuhan,ID,-6.8844,112.2051,77.9,84,66,10.54,broken clouds
109,Ahipara,NZ,-35.1667,173.1667,59.04,68,77,10.11,broken clouds
110,Cape Town,ZA,-33.9258,18.4232,57.09,76,20,5.75,few clouds
111,Kavaratti,IN,10.5669,72.642,81.27,79,100,16.35,overcast clouds
112,Qeshm,IR,26.9581,56.2719,82.29,74,0,5.37,clear sky
113,Roma,US,43.2128,-75.4557,51.66,77,100,1.99,overcast clouds
114,Severo-Kurilsk,RU,50.6789,156.125,52.03,81,96,11.5,overcast clouds
115,La Rioja,ES,42.25,-2.5,49.78,50,56,5.68,broken clouds
116,Sorong,ID,-0.8833,131.25,79.79,83,84,5.7,broken clouds
117,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,20,6.69,few clouds
118,Zhangjiakou,CN,40.81,114.8794,32.79,41,0,6.76,clear sky
119,Aklavik,CA,68.2191,-135.0107,30.4,85,83,7.74,broken clouds
120,Souillac,MU,-20.5167,57.5167,68.38,77,20,10.36,few clouds
121,Bafq,IR,31.6128,55.4107,74.64,23,8,4.9,clear sky
122,Sinnamary,GF,5.3833,-52.95,79.3,86,76,10.25,broken clouds
123,Vostok,RU,46.4856,135.8833,29.08,91,98,11.32,light snow
124,Vilhena,BR,-12.7406,-60.1458,77.22,83,40,4.61,scattered clouds
125,Sibu,MY,2.3,111.8167,75.51,100,40,2.3,light rain
126,Ponta Do Sol,PT,32.6667,-17.1,70.43,76,22,2.35,few clouds
